Key	Catalogus Nr.
C-EUC0805:33p	YCAM33P-2
C-EUC0805:100n	YCAM100N-1
CPOL-EUE2.5-6:100µ	CAER100U-2
CPOL-EUE2.5-6:10µ	CAT10U
C-EU050-025X075:470n	CAM470N
1N4004	DIO1N4007
1N4148	DIO1N4148
MAX3223EAP	YICLMAX3223
PINHD-1X2:	Farnell: 341-7645
PINHD-1X5:	CNHDR036M3-1
YCOL10U:10µ	YCOL10U
LED3MM:	DIL3G
R-US_0207/10:1k	RES1K
R-US_0207/10:3k3	RES3K24
R-US_0207/10:820	RES820E
R-EU_0207/10:1R	RES1E
R-EU_0207/10:180R	RES180E
R-US_0207/10:10k	RES10K
R-EU_0207/10:560R	RES560E
R-US_0207/10:330	RES330E
R-EU_0207/10:1K	RES1K
R-EU_0207/10:15K	RES15K
R-EU_0207/10:150K	RES150K
R-EU_0207/10:27K	RES27K
R-EU_0207/10:10K	RES10K
R-US_0207/10:1K	RES1K
R-EU_0207/10:82R	RES82E
R-EU_0207/10:NOTPLACED	
LPC2106	YICLPC2106
ADM809	YICSADM809
LP3984-1V8	YICRLP3984-1V8
LP3985-3V3	YICRLP3985-3V3
JXS53	YXTL12M00
CNPWR004M-1	CNPWR004M4
F09HP:	CNSUD009F2-2
WAGO8-255-408-508	CNTRM008
R-US_0207/10:1R	RES1E
R-US_0207/10:180R	RES180E
R-US_0207/10:10K	RES10K
R-US_0207/10:560R	RES560E
R-US_0207/10:15K	RES15K
R-US_0207/10:150K	RES150K
R-US_0207/10:27K	RES27K
R-US_0207/10:82R	RES82E
PCF8591P	ICSPCF8591
7805T	ICR7805
MAX472CPA	ICSMAX472
BS170	TRFBS170
R-US_0207/10:39R	RES39E
ML20:JP_JTAG	CNFLC020M1
PINHD-1X3:	CNHDR036M3-1
WAGO2-255-402-508	CNTRM002
C-EU025-030X050:10n	CAC10N
C-EU025-030X050:27p	YCAM33P
CPOL-EUE15-5AXIAL:10µ	CAER10U
PINHD-2X10:	CNHDR064M3-1
PINHD-1X17:	CNHDR036M3-1
PINHD-1X16:	CNHDR036M3-1
BC557	TRSBC557
BC547	TRSBC547
R-US_0207/10:4K7	RES4K7
R-US_0207/10:56K	RES56K
R-US_0207/10:470R	RES470E
R-US_0207/10:220R	RES220E
R-US_0207/10:56R	RES56E
R-US_0207/10:470K	RES470K
R-US_0207/10:390R	RES390E
R-US_0207/10:1K5	RES1K5
R-US_0207/10:3K3	RES3K3
R-US_0207/10:330R	RES330E
R-US_0207/10:12K	RES12K
R-US_0207/10:22K	RES22K
R-US_0207/10:33K	RES33K
R-US_0207/10:680R	RES680E
R-US_0207/10:2K7	RES2K7
RN08:4K7	REN8X4K7
M212	YICOM212-1
ML20:	CNFLC020M1
SL811ST	YICPSL811ST
USB-B_V	CNUSB04F1
74HC4067	ICT74HC4067
74HC241N	ICT74HC241N
74HC139N	ICT74HC139N
74HC14N	ICT74HC14N
R-US_0207/10:820R	RES820E
R-US_0207/10:1K0	RES1K
YDIZ:4V7	YDIZ4V7
M211	YICOM211-1
CPOL-EUE2.5-7:10µ	CAER10U
R-US_0207/10:8K2	RES8K2
AD8032	YICSAD8032
R-US_0207/10:390K	RES390K
C-EU050-025X075:27n	CAM27N
C-EUC1206:1n	YCAM1N
PINHD-1X4:	CNHDR036M3-1
WAGO4-255-404-508	CNTRM005
SN75HVD12	YICL75HVD12
LM393N	ICLLM393N
R-US_0207/10:1R0	RES1E
R-US_0207/10:1K8	RES1K8
C-EUC1206:10n	YCAM10N
C-EUC1206:10µ	YCAM10U
74HC04D	YICT74HC04
CPOL-EUE25-10AXIAL:470µF/35V	CAEA470U
F15VP	CONSUD015F3
PINHD-2X3:	CNHDR073M3-1
PINHD-2X7:	CNHDR064M3-1
PINHD-2X8:	CNHDR064M3-1
R-US_0207/10:220E	RES220E
4051D	YICT74HC4051
MICROMATCH_12POS	CNFLC012F1
LP3985IM5-3.3	YICRLP3985-3.3
C-EU150-072X183:680n	Farnell 562-713
C-EU150-072X183:220n	Farnell 562-543
R-US_0207/10:100K	RES100K
YDIZ:	YDIZ4V7
G5V1	Farnell 466-888
YCOLFB600E:FB600E	YCOLFB600E
R-US_0207/10:470E	RES470E
R-US_0207/10:39E	RES39E
C-EUC1206:10µF	YCAM10U
PINHD-1X7:	CNHDR036M3-1
MBRA140	YDIOMRA140
MAX3221EUE	YICLMAX3220
LM2671	YICRLM2671
LM311N	Farnell 334-3613
CNPWR002M4-1	CNPWR002M4-1
R-US_0207/10:820E	RES820E
R-US_0207/10:330E	RES330E
YCOL100U-1:100µH	YCOL100U-1
R-US_0207/10:56E	RES56E
YCAT47U:47µF	YCAT47U
R-US_0207/10:47K	RES47K
R-US_M0805:3K3	YRES3K3-2
R-US_0207/10:1E	RES1E
R-US_R0603:1K2	YRES1K2-1
R-US_R0603:3K3	YRES3K3-1
YCOL10U:10µH	YCOL10U
RN04:4K7	REN4x4K7
LP2985IM5-1.8	RSonline 471-8317
MAX472	Farnell 361-6010
CPOL-EU175TMP-0808:100µF	YCAER100U
CPOL-EUE2.5-5:100µ/63V	CAER100U-1
PINHD-2X13:	CNHDR064M3-1
C-EU025-040X050:100n	CAM100N
RN08:10K	REN8X10K
R-TRIMM3339P:1K	Farnell 463-1171
C-EU025-050X050:1n/polyprop	Farnell 150-006
C-EUC0603:10n	YCAM10N-1
PINHD-1X11:	CNHDR036M3-1
YCOLFB600E	YCOLFB600E
74HC74D	Farnell 379-300
R-US_0207/10:82K	RES82K
PINHD-1X8:	Farnell: 118-7828
PINHD-2X4:	CNHDR064M3-1
MAX483CSA	YICLMAX483
MCS08	Testpin
R-US_0207/10:680K	RES680K
744053D	YICT74HC4053
ADG712BRZ	Farnell 9603891
DA108S1	Farnell 9802215
DIN41612-F	CNDIN048F1-1
LM1881M	Farnell 949-3468
PINHD-1X1:	CNHDR036M3-1
PINHD-1X6:	CNHDR036M3-1
R-US_0207/10:200E/1%	RES200E
R-US_0207/10:75E	RES75E
0569564-1	CNRJ45F1-4
BNC	CNBNCF3-2
R-US_0207/10:1M0	RES1M
1N5822	DIO1N5822
C-EU102-054X133:4n7/400V	CAC4N7
R-US_0207/10:18K	RES18K
45VA:45VA	TFM25
R-US_0207/10:100E	RES100E
YCAT47U:100u	YCAT100U
YCOL100U-1:100uH	YCOL100U-1
R-US_0207/10:220	RES220E
CPOL-EUE35-12AXIAL:470µ/40V	CAEA470U-1
500mA (time lag)	FSH01
C-EU025-040X050:560p	
637-10ABP	Farnell 335-4222
CPOL-EUE45-21AXIAL:4700µ/40V	CAEA4700U
B80C37002200	DIB03
C-EU025-040X050:680p	Farnell 383-4128
LM2671-3.3	YICRLM2671
PE-53145	Farnell 552-318
LM2596TV:	Farnell 949-4162
RN08:220E	REN8X220E
RN04:220E	REN4X220E
C-EU150-054X183:150n/400V	CAF150N
800mA (time lag)	FSH01
CON_EDGE44	RS-Online 483-871
MSTBV10	Farnell 304-1566
IEC_INLET	CNPWR0031-1
WAGO3-255-403-508	CNTRM003
XH10	CNXH010M1
C-EUC0603:1n	YCAM1N-1
C-EUC0603:2n2	YCAM2N2-1
CRYTALHC49U-V:4.433619MHz	Farnell 971-2739
R-US_R0805:10E	YRES10E-2
C-EUC0805:10p	YCAM10P-2
C-EUC1206:10u	YCAM10U
C-EUC0603:15p	YCAM15P-1
CPOL-EUSMCD:47u	YCAT47U
R-US_R0603:220k	YRES220K-1
YCOL100U-1:220u	YCOL220U
R-TRIMMT93YA:530E	Farnell 306-5716
AD722	RSOnline 231-5231
ADV7123	DigiKey: ADV7123KSTZ50-ND
LM3578	YICRLM3578
PINHD-2X20:	CNHDR064M3-1
CPOL-EUSMCC:10u	YCAT10U
CPOL-EUSMCC:100u	YCAT100U-1
R-US_R0805:10K	YRES10K-2
R-US_R0805:75E	YRES75E-2
F15HDH:CON-VGA	Farnell 210-535
MDIN4	Farnell 152-212
ML10:	CNFLC010M1
RN08:1K5	Farnell 447-419
MICROMATCH-12	CNFLC012F1
MCV1,5/5-G-3,5	Farnell 370-4841
MSTBV5	CNTRM005M-2
LED1X4	DIL3G-4
ELCO470U/35V	CAER470U-1
SPT-11P	CNTRB011-1
SPT-2P	CNTRB002-1
R-US_R0603:0E	YRES0E-1
R-US_R0805:0E	YRES0E-2
R-US_R0603:1K5	YRES1K5-1
R-US_R1206:1K5	YRES1K5
R-US_M1206:1M	YRES1M
C-EUC0805:1u	YCAM1U-1
R-US_R0603:2K7/1%	YRES2K7-1
R-US_R1206:3K3	YRES3K3
R-US_R0603:8K2	YRES8K2-1
R-US_R0603:8K2/1%	YRES8K2-1
R-US_M0805:10K	YRES10K-2
CPOL-EUSMCD:10u/35V	YCAT10U-3
R-US_R0603:12K	YRES12K-1
R-US_R0603:15K	YRES15K-1
R-US_R0805:22K	YRES22K-2
C-EUC0805:47n	YCAM47N-2
R-US_R0603:50E	YRES50E-1
R-US_R0805:56E	YRES56E-2
R-US_R1206:100K	YRES100K
CPOL-EUSMCD:100u/10V	YCAT100U
R-US_R0603:330E	YRES330E-1
R-US_R1206:470E	YRES470E
R-US_R1206:680K	YRES680K
R-US_R1206:820E	YRES820E
AD8131	YICSAD8131
BC857BSMD	YTRSBC857-1
MAX561CAI	YICLMAX561
MAX4642	YICSMAX4642
STF202	YICSSTF202
R-US_0207/10:0E2	RES0E2
R-US_R1206:1K	YRES1K
R-US_R0805:1K8	YRES1K8-2
R-US_R0805:3K3	YRES3K3-2
R-US_R0603:75K	YRES75K-1
R-US_R0805:120E	YRES120E-2
R-US_R0805:330E	YRES330E-2
R-US_R0603:390K	YRES390K-1
DIN41612-B64-FEMALE-90°	CNDIN064F2
DIN41612-B64-FEMALE-STRAIGHT	CNDIN064F1-1
R-US_R0805:2K7	YRES2K7-2
R-US_R1206:15K	YRES15K
R-US_R0603:100K	YRES100K-1
CPOL-EUSMCC:100u/6V3	YCAT100U-1
R-US_M0805:120E	YRES120E-2
C-EUC1206:470p	YCAM470P
C-EUC0805:1n	YCAM1N-2
C-EUC0603:22p	YCAM22P-1
R-US_R0603:49E9	YRES49E9-1
R-US_R0603:560E	YRES560E-1
BAS32L	YDIO1N4148
BC847	YTRSBC847-1
PSRDA05-6	YICSPSRDA05
R-US_R1206:0E	YRES0E
R-US_M0805:2K2	YRES2K2-2
R-US_R0805:2K2	YRES2K2-2
R-US_R0805:4K7	YRES4K7-2
C-EUC1206:4u7	YCAM4U7
R-US_R0603:150K	YRES150K-1
R-US_R0603:1K	YRES1K-1
R-US_R0805:1K	YRES1K-2
R-US_R0805:100E	YRES100E-2
LTC6905-100	DigiKey: LTC6905CS5-100#TRM-ND
TPS3809I50	Farnell 845-7166
BD647	Farnell: 119-2112
INA169	Farnell 120-6908
TPS78633KTT	Farnell 954-6308
TPS79618KTT	DigiKey 296-16664-5-ND
TPS5420D	DigiKey 296-19671-5-ND
R-US_R0805:4K87 1%	Farnell 114-0878
CRYTALTC26H:32.768kHz	old stock / Farnell 107-8691
SI1012R	Farnell 955-0445
CRYTALHC49U-V:3.579545MHz	DigiKey 631-1078-ND
CRYTALHC49U-V:12MHz	Farnell 950-9500
R-US_R1206:1M	YRES1M
C-EU050-045X075:1nF/polyprop	Farnell: 100-5978
