Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case"
"https://www.diodes.com/assets/Datasheets/DMN3731U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","31-DMN3731U-7TR-ND,31-DMN3731U-7CT-ND,31-DMN3731U-7DKR-ND","DMN3731U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 900MA SOT23","80.891","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","900mA (Ta)","1.8V, 4.5V","460mOhm @ 200mA, 4.5V","0.95V @ 250µA","5.5 nC @ 4.5 V","±8V","73 pF @ 25 V","-","400mW","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/ruc002n05t116-e.pdf","//media.digikey.com/Renders/Rohm%20Renders/Rohm-SST3.jpg","RUC002N05T116TR-ND,RUC002N05T116CT-ND,RUC002N05T116DKR-ND","RUC002N05T116","Rohm Semiconductor","Rohm Semiconductor","MOSFET N-CH 50V 200MA SST3","332.786","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","200mA (Ta)","1.2V, 4.5V","2.2Ohm @ 200mA, 4.5V","1V @ 1mA","-","±8V","25 pF @ 10 V","-","200mW (Ta)","150°C (TJ)","Surface Mount","SST3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN62D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN62D0U-7DITR-ND,DMN62D0U-7DICT-ND,DMN62D0U-7DIDKR-ND","DMN62D0U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 380MA SOT23","15.245","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","380mA (Ta)","1.8V, 4.5V","2Ohm @ 100mA, 4.5V","1V @ 250µA","0.5 nC @ 4.5 V","±20V","32 pF @ 30 V","-","380mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN62D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN62D0U-13DITR-ND,DMN62D0U-13DICT-ND,DMN62D0U-13DIDKR-ND","DMN62D0U-13","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 380MA SOT23","127.292","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","380mA (Ta)","1.8V, 4.5V","2Ohm @ 100mA, 4.5V","1V @ 250µA","0.5 nC @ 4.5 V","±20V","32 pF @ 30 V","-","380mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3436-AU.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3436-AU_R1_000A1TR-ND,3757-PJA3436-AU_R1_000A1CT-ND,3757-PJA3436-AU_R1_000A1DKR-ND","PJA3436-AU_R1_000A1","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","4.156","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q101","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.2A (Ta)","1.8V, 4.5V","380mOhm @ 1.2A, 4.5V","1V @ 250µA","0.9 nC @ 4.5 V","±12V","39 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN53D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN53D0U-7DITR-ND,DMN53D0U-7DICT-ND,DMN53D0U-7DIDKR-ND","DMN53D0U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 50V 300MA SOT23","206.164","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","300mA (Ta)","1.8V, 5V","2Ohm @ 50mA, 5V","1V @ 250µA","0.6 nC @ 4.5 V","±12V","37.1 pF @ 25 V","-","520mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3430.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3430_R1_00001TR-ND,3757-PJA3430_R1_00001CT-ND,3757-PJA3430_R1_00001DKR-ND","PJA3430_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","9.056","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2A (Ta)","1.8V, 4.5V","150mOhm @ 2A, 4.5V","1V @ 250µA","1.8 nC @ 4.5 V","±8V","92 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3416AE.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3416AE_R1_00001TR-ND,3757-PJA3416AE_R1_00001CT-ND,3757-PJA3416AE_R1_00001DKR-ND","PJA3416AE_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","15.129","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6.5A (Ta)","1.8V, 4.5V","22mOhm @ 6.5A, 4.5V","1V @ 250µA","8.6 nC @ 4.5 V","±8V","836 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3436.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3436_R1_00001TR-ND,3757-PJA3436_R1_00001CT-ND,3757-PJA3436_R1_00001DKR-ND","PJA3436_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","2.749","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.2A (Ta)","1.8V, 4.5V","380mOhm @ 1.2A, 4.5V","1V @ 250µA","0.9 nC @ 4.5 V","±12V","39 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3434.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3434_R1_00001TR-ND,3757-PJA3434_R1_00001CT-ND,3757-PJA3434_R1_00001DKR-ND","PJA3434_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","340","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","750mA (Ta)","1.2V, 4.5V","400mOhm @ 600mA, 4.5V","1V @ 250µA","1.4 nC @ 4.5 V","±10V","67 pF @ 10 V","-","500mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
